kind	filename	restricted_destination	source_bytes	dest_bytes	source_sha256	dest_sha256	result	mtime_preserved
DATABASE_DUMP	core_business_dev-pre-v64-20260917T200210.sql	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-24-2026-09-17/core_business_dev-pre-v64-20260917T200210.sql	1011872	1011872	0f5fbd0ee6c2e7815d57a95c4a1947e7d06ce0bce41977a13aeb95bdab2505b1	0f5fbd0ee6c2e7815d57a95c4a1947e7d06ce0bce41977a13aeb95bdab2505b1	MATCH	YES
COMPANION	pre-migration-checksums.txt	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-24-2026-09-17/evidence/db/pre-migration-checksums.txt	285	285	7c201655f253658ccc544f7044f38a51325629cf51d106a9720f826c84e039b9	7c201655f253658ccc544f7044f38a51325629cf51d106a9720f826c84e039b9	MATCH	YES
COMPANION	post-migration-checksums.txt	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-24-2026-09-17/evidence/db/post-migration-checksums.txt	285	285	7c201655f253658ccc544f7044f38a51325629cf51d106a9720f826c84e039b9	7c201655f253658ccc544f7044f38a51325629cf51d106a9720f826c84e039b9	MATCH	YES
COMPANION	preflight-20260917T200210.txt	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-24-2026-09-17/evidence/db/preflight-20260917T200210.txt	1110	1110	93d2cc57a17f1684601e15691ad34a0129dc30dbca56fce357d19feed7ee10f5	93d2cc57a17f1684601e15691ad34a0129dc30dbca56fce357d19feed7ee10f5	MATCH	YES
DATABASE_DUMP	core_business_dev-pre-v65-20260917T222529.sql	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-27-2026-09-17/core_business_dev-pre-v65-20260917T222529.sql	1068711	1068711	ffd4abb7674f5a4f268bad0198016cdfc62bd7ea7151326d84c7796e3263482e	ffd4abb7674f5a4f268bad0198016cdfc62bd7ea7151326d84c7796e3263482e	MATCH	YES
COMPANION	pre-v65-checksums.txt	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-27-2026-09-17/evidence/db/pre-v65-checksums.txt	283	283	9889f175c5d0ddc935ca3c4258d16733a6d2b5c2287309d0b0866aa9d585fc10	9889f175c5d0ddc935ca3c4258d16733a6d2b5c2287309d0b0866aa9d585fc10	MATCH	YES
COMPANION	post-v65-checksums.txt	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-27-2026-09-17/evidence/db/post-v65-checksums.txt	283	283	9889f175c5d0ddc935ca3c4258d16733a6d2b5c2287309d0b0866aa9d585fc10	9889f175c5d0ddc935ca3c4258d16733a6d2b5c2287309d0b0866aa9d585fc10	MATCH	YES
COMPANION	pre-v65-business-numbers.md5	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-27-2026-09-17/evidence/db/pre-v65-business-numbers.md5	33	33	9d65384338e1a123c14ee279e134e94f7990d76da07538080c859930722a409e	9d65384338e1a123c14ee279e134e94f7990d76da07538080c859930722a409e	MATCH	YES
COMPANION	preflight-20260917T222529.txt	GYPPORT_STORAGE/Restricted/Gystigo/shared-dev-deployment-27-2026-09-17/evidence/db/preflight-20260917T222529.txt	1138	1138	3291dc54119e749b4d73b0403ba2b76158e95b532915c1798258cba2caaffb19	3291dc54119e749b4d73b0403ba2b76158e95b532915c1798258cba2caaffb19	MATCH	YES
